n_peak,n_estimators,max_depth,min_samples_split,accuracy_train,accuracy_test
100,50,30.0,5,0.99581589958159,0.6333333333333333
100,80,20.0,10,0.9539748953974896,0.6333333333333333
100,80,30.0,10,0.9539748953974896,0.6333333333333333
100,80,40.0,10,0.9539748953974896,0.6333333333333333
100,30,10.0,10,0.9518828451882845,0.6333333333333333
100,90,,10,0.9560669456066946,0.6333333333333333
100,90,10.0,2,0.997907949790795,0.6333333333333333
100,30,10.0,2,0.99581589958159,0.625
100,40,10.0,2,0.997907949790795,0.6166666666666667
100,10,10.0,2,0.9769874476987448,0.6166666666666667
