n_neighbors,weights,metric,accuracy_train,accuracy_test
9,uniform,chebyshev,0.8369384359400999,0.7880794701986755
9,uniform,minkowski,0.8585690515806988,0.7880794701986755
9,distance,euclidean,1.0,0.8013245033112583
9,distance,manhattan,1.0,0.8079470198675497
9,distance,chebyshev,1.0,0.8013245033112583
9,distance,minkowski,1.0,0.8013245033112583
10,uniform,euclidean,0.8519134775374376,0.8013245033112583
10,uniform,manhattan,0.8386023294509152,0.7947019867549668
10,uniform,chebyshev,0.8286189683860233,0.7814569536423841
10,uniform,minkowski,0.8519134775374376,0.8013245033112583
10,distance,euclidean,1.0,0.8211920529801324
10,distance,manhattan,1.0,0.8145695364238411
10,distance,chebyshev,1.0,0.8013245033112583
10,distance,minkowski,1.0,0.8211920529801324
11,uniform,euclidean,0.8552412645590682,0.7880794701986755
11,uniform,manhattan,0.8435940099833611,0.7947019867549668
11,uniform,chebyshev,0.8302828618968386,0.7615894039735099
11,uniform,minkowski,0.8552412645590682,0.7880794701986755
11,distance,euclidean,1.0,0.8013245033112583
11,distance,manhattan,1.0,0.8211920529801324
11,distance,chebyshev,1.0,0.7947019867549668
11,distance,minkowski,1.0,0.8013245033112583
12,uniform,euclidean,0.8452579034941764,0.7814569536423841
12,uniform,manhattan,0.8386023294509152,0.8013245033112583
12,uniform,chebyshev,0.8202995008319468,0.7549668874172185
12,uniform,minkowski,0.8452579034941764,0.7814569536423841
12,distance,euclidean,1.0,0.7947019867549668
12,distance,manhattan,1.0,0.8211920529801324
12,distance,chebyshev,1.0,0.7880794701986755
12,distance,minkowski,1.0,0.7947019867549668
13,uniform,euclidean,0.8386023294509152,0.7748344370860927
13,uniform,manhattan,0.8369384359400999,0.7814569536423841
13,uniform,chebyshev,0.8153078202995009,0.7682119205298014
13,uniform,minkowski,0.8386023294509152,0.7748344370860927
13,distance,euclidean,1.0,0.7814569536423841
13,distance,manhattan,1.0,0.8145695364238411
13,distance,chebyshev,1.0,0.7880794701986755
13,distance,minkowski,1.0,0.7814569536423841
14,uniform,euclidean,0.831946755407654,0.8013245033112583
14,uniform,manhattan,0.826955074875208,0.7814569536423841
14,uniform,chebyshev,0.8069883527454242,0.7682119205298014
14,uniform,minkowski,0.831946755407654,0.8013245033112583
14,distance,euclidean,1.0,0.7947019867549668
14,distance,manhattan,1.0,0.8013245033112583
14,distance,chebyshev,1.0,0.7814569536423841
14,distance,minkowski,1.0,0.7947019867549668
15,uniform,euclidean,0.826955074875208,0.7814569536423841
15,uniform,manhattan,0.8336106489184693,0.7814569536423841
15,uniform,chebyshev,0.8119800332778702,0.7615894039735099
15,uniform,minkowski,0.826955074875208,0.7814569536423841
15,distance,euclidean,1.0,0.7880794701986755
15,distance,manhattan,1.0,0.7947019867549668
15,distance,chebyshev,1.0,0.7814569536423841
15,distance,minkowski,1.0,0.7880794701986755
16,uniform,euclidean,0.826955074875208,0.7880794701986755
16,uniform,manhattan,0.8119800332778702,0.7880794701986755
16,uniform,chebyshev,0.8069883527454242,0.7615894039735099
16,uniform,minkowski,0.826955074875208,0.7880794701986755
16,distance,euclidean,1.0,0.8013245033112583
16,distance,manhattan,1.0,0.8013245033112583
16,distance,chebyshev,1.0,0.7880794701986755
16,distance,minkowski,1.0,0.8013245033112583
17,uniform,euclidean,0.8103161397670549,0.7880794701986755
17,uniform,manhattan,0.8119800332778702,0.7880794701986755
17,uniform,chebyshev,0.8053244592346089,0.7417218543046358
17,uniform,minkowski,0.8103161397670549,0.7880794701986755
17,distance,euclidean,1.0,0.7947019867549668
17,distance,manhattan,1.0,0.8079470198675497
17,distance,chebyshev,1.0,0.7748344370860927
17,distance,minkowski,1.0,0.7947019867549668
18,uniform,euclidean,0.8136439267886856,0.7814569536423841
18,uniform,manhattan,0.800332778702163,0.8013245033112583
18,uniform,chebyshev,0.8019966722129783,0.7483443708609272
18,uniform,minkowski,0.8136439267886856,0.7814569536423841
18,distance,euclidean,1.0,0.8079470198675497
18,distance,manhattan,1.0,0.7947019867549668
18,distance,chebyshev,1.0,0.7549668874172185
18,distance,minkowski,1.0,0.8079470198675497
19,uniform,euclidean,0.7936772046589018,0.7748344370860927
19,uniform,manhattan,0.8036605657237936,0.8079470198675497
19,uniform,chebyshev,0.7986688851913477,0.7350993377483444
19,uniform,minkowski,0.7936772046589018,0.7748344370860927
19,distance,euclidean,1.0,0.7947019867549668
19,distance,manhattan,1.0,0.7880794701986755
19,distance,chebyshev,1.0,0.7549668874172185
19,distance,minkowski,1.0,0.7947019867549668
20,uniform,euclidean,0.8019966722129783,0.7814569536423841
20,uniform,manhattan,0.7920133111480865,0.7880794701986755
20,uniform,chebyshev,0.7920133111480865,0.7483443708609272
20,uniform,minkowski,0.8019966722129783,0.7814569536423841
20,distance,euclidean,1.0,0.8079470198675497
20,distance,manhattan,1.0,0.7880794701986755
20,distance,chebyshev,1.0,0.7549668874172185
20,distance,minkowski,1.0,0.8079470198675497
