n_neighbors,weights,metric,accuracy_train,accuracy_test
14,distance,manhattan,1.0,0.9933774834437086
14,distance,chebyshev,1.0,0.9536423841059603
14,distance,minkowski,1.0,0.9867549668874173
15,uniform,euclidean,0.978369384359401,0.9470198675496688
15,uniform,manhattan,0.9800332778702163,0.9668874172185431
15,uniform,chebyshev,0.9600665557404326,0.9470198675496688
15,uniform,minkowski,0.978369384359401,0.9470198675496688
15,distance,euclidean,1.0,0.9801324503311258
15,distance,manhattan,1.0,0.9933774834437086
15,distance,chebyshev,1.0,0.9602649006622517
15,distance,minkowski,1.0,0.9801324503311258
16,uniform,euclidean,0.9767054908485857,0.9536423841059603
16,uniform,manhattan,0.978369384359401,0.9668874172185431
16,uniform,chebyshev,0.9584026622296173,0.9470198675496688
16,uniform,minkowski,0.9767054908485857,0.9536423841059603
16,distance,euclidean,1.0,0.9801324503311258
16,distance,manhattan,1.0,0.9801324503311258
16,distance,chebyshev,1.0,0.9536423841059603
16,distance,minkowski,1.0,0.9801324503311258
17,uniform,euclidean,0.9700499168053245,0.9470198675496688
17,uniform,manhattan,0.9750415973377704,0.9602649006622517
17,uniform,chebyshev,0.9500831946755408,0.9271523178807947
17,uniform,minkowski,0.9700499168053245,0.9470198675496688
17,distance,euclidean,1.0,0.9668874172185431
17,distance,manhattan,1.0,0.9735099337748344
17,distance,chebyshev,1.0,0.9470198675496688
17,distance,minkowski,1.0,0.9668874172185431
18,uniform,euclidean,0.9667221297836939,0.9536423841059603
18,uniform,manhattan,0.9733777038269551,0.9536423841059603
18,uniform,chebyshev,0.9517470881863561,0.9271523178807947
18,uniform,minkowski,0.9667221297836939,0.9536423841059603
18,distance,euclidean,1.0,0.9668874172185431
18,distance,manhattan,1.0,0.9668874172185431
18,distance,chebyshev,1.0,0.9536423841059603
18,distance,minkowski,1.0,0.9668874172185431
19,uniform,euclidean,0.9633943427620633,0.9470198675496688
19,uniform,manhattan,0.9700499168053245,0.9470198675496688
19,uniform,chebyshev,0.9450915141430949,0.9271523178807947
19,uniform,minkowski,0.9633943427620633,0.9470198675496688
19,distance,euclidean,1.0,0.9602649006622517
19,distance,manhattan,1.0,0.9668874172185431
19,distance,chebyshev,1.0,0.9470198675496688
19,distance,minkowski,1.0,0.9602649006622517
20,uniform,euclidean,0.961730449251248,0.9337748344370861
20,uniform,manhattan,0.9700499168053245,0.9470198675496688
20,uniform,chebyshev,0.9417637271214643,0.9271523178807947
20,uniform,minkowski,0.961730449251248,0.9337748344370861
20,distance,euclidean,1.0,0.9602649006622517
20,distance,manhattan,1.0,0.9668874172185431
20,distance,chebyshev,1.0,0.9403973509933775
20,distance,minkowski,1.0,0.9602649006622517
