n_neighbors,weights,metric,accuracy_train,accuracy_test
18,uniform,chebyshev,0.7722007722007722,0.7076923076923077
18,uniform,minkowski,0.7760617760617761,0.7615384615384615
18,distance,euclidean,1.0,0.7846153846153846
18,distance,manhattan,1.0,0.7846153846153846
18,distance,chebyshev,1.0,0.7615384615384615
18,distance,minkowski,1.0,0.7846153846153846
19,uniform,euclidean,0.7741312741312741,0.7461538461538462
19,uniform,manhattan,0.7857142857142857,0.7538461538461538
19,uniform,chebyshev,0.7586872586872587,0.7
19,uniform,minkowski,0.7741312741312741,0.7461538461538462
19,distance,euclidean,1.0,0.7692307692307693
19,distance,manhattan,1.0,0.7846153846153846
19,distance,chebyshev,1.0,0.7461538461538462
19,distance,minkowski,1.0,0.7692307692307693
20,uniform,euclidean,0.7741312741312741,0.7384615384615385
20,uniform,manhattan,0.7857142857142857,0.7692307692307693
20,uniform,chebyshev,0.7413127413127413,0.7076923076923077
20,uniform,minkowski,0.7741312741312741,0.7384615384615385
20,distance,euclidean,1.0,0.7692307692307693
20,distance,manhattan,1.0,0.7846153846153846
20,distance,chebyshev,1.0,0.7384615384615385
20,distance,minkowski,1.0,0.7692307692307693
