band_width,n_neighbors,weights,metric,accuracy_train,accuracy_test
10,14,uniform,euclidean,0.8281853281853282,0.8384615384615385
10,14,uniform,manhattan,0.8359073359073359,0.8692307692307693
10,14,uniform,chebyshev,0.7972972972972973,0.7538461538461538
10,14,uniform,minkowski,0.8281853281853282,0.8384615384615385
10,14,distance,euclidean,1.0,0.9
10,14,distance,manhattan,1.0,0.9230769230769231
10,14,distance,chebyshev,1.0,0.823076923076923
10,14,distance,minkowski,1.0,0.9
10,15,uniform,euclidean,0.8262548262548263,0.8461538461538461
10,15,uniform,manhattan,0.8146718146718147,0.8615384615384616
10,15,uniform,chebyshev,0.8011583011583011,0.7615384615384615
10,15,uniform,minkowski,0.8262548262548263,0.8461538461538461
10,15,distance,euclidean,1.0,0.8846153846153846
10,15,distance,manhattan,1.0,0.8846153846153846
10,15,distance,chebyshev,1.0,0.823076923076923
10,15,distance,minkowski,1.0,0.8846153846153846
10,16,uniform,euclidean,0.8262548262548263,0.8461538461538461
10,16,uniform,manhattan,0.8243243243243243,0.8538461538461538
10,16,uniform,chebyshev,0.777992277992278,0.7615384615384615
10,16,uniform,minkowski,0.8262548262548263,0.8461538461538461
10,16,distance,euclidean,1.0,0.8923076923076924
10,16,distance,manhattan,1.0,0.9076923076923077
10,16,distance,chebyshev,1.0,0.8076923076923077
10,16,distance,minkowski,1.0,0.8923076923076924
10,17,uniform,euclidean,0.8204633204633205,0.8307692307692308
10,17,uniform,manhattan,0.8146718146718147,0.8307692307692308
10,17,uniform,chebyshev,0.7934362934362934,0.7615384615384615
10,17,uniform,minkowski,0.8204633204633205,0.8307692307692308
10,17,distance,euclidean,1.0,0.9
10,17,distance,manhattan,1.0,0.8923076923076924
10,17,distance,chebyshev,1.0,0.823076923076923
10,17,distance,minkowski,1.0,0.9
10,18,uniform,euclidean,0.8088803088803089,0.8307692307692308
10,18,uniform,manhattan,0.8146718146718147,0.823076923076923
10,18,uniform,chebyshev,0.7644787644787645,0.7384615384615385
10,18,uniform,minkowski,0.8088803088803089,0.8307692307692308
10,18,distance,euclidean,1.0,0.9076923076923077
10,18,distance,manhattan,1.0,0.8923076923076924
10,18,distance,chebyshev,1.0,0.823076923076923
10,18,distance,minkowski,1.0,0.9076923076923077
10,19,uniform,euclidean,0.8185328185328186,0.823076923076923
10,19,uniform,manhattan,0.8204633204633205,0.8076923076923077
10,19,uniform,chebyshev,0.752895752895753,0.7538461538461538
10,19,uniform,minkowski,0.8185328185328186,0.823076923076923
10,19,distance,euclidean,1.0,0.9
10,19,distance,manhattan,1.0,0.8538461538461538
10,19,distance,chebyshev,1.0,0.8307692307692308
10,19,distance,minkowski,1.0,0.9
10,20,uniform,euclidean,0.7972972972972973,0.823076923076923
10,20,uniform,manhattan,0.806949806949807,0.8076923076923077
10,20,uniform,chebyshev,0.7567567567567568,0.7538461538461538
10,20,uniform,minkowski,0.7972972972972973,0.823076923076923
10,20,distance,euclidean,1.0,0.9076923076923077
10,20,distance,manhattan,1.0,0.8461538461538461
10,20,distance,chebyshev,1.0,0.823076923076923
10,20,distance,minkowski,1.0,0.9076923076923077
20,1,uniform,euclidean,1.0,0.9076923076923077
20,1,uniform,manhattan,1.0,0.9461538461538461
20,1,uniform,chebyshev,1.0,0.8384615384615385
20,1,uniform,minkowski,1.0,0.9076923076923077
20,1,distance,euclidean,1.0,0.9076923076923077
20,1,distance,manhattan,1.0,0.9461538461538461
20,1,distance,chebyshev,1.0,0.8384615384615385
20,1,distance,minkowski,1.0,0.9076923076923077
20,2,uniform,euclidean,0.9111969111969112,0.8615384615384616
20,2,uniform,manhattan,0.9362934362934363,0.9153846153846154
20,2,uniform,chebyshev,0.9015444015444015,0.823076923076923
20,2,uniform,minkowski,0.9111969111969112,0.8615384615384616
20,2,distance,euclidean,1.0,0.9076923076923077
20,2,distance,manhattan,1.0,0.9461538461538461
20,2,distance,chebyshev,1.0,0.8384615384615385
20,2,distance,minkowski,1.0,0.9076923076923077
20,3,uniform,euclidean,0.918918918918919,0.8846153846153846
20,3,uniform,manhattan,0.9459459459459459,0.9307692307692308
20,3,uniform,chebyshev,0.888030888030888,0.823076923076923
20,3,uniform,minkowski,0.918918918918919,0.8846153846153846
20,3,distance,euclidean,1.0,0.9076923076923077
20,3,distance,manhattan,1.0,0.9384615384615385
20,3,distance,chebyshev,1.0,0.8153846153846154
20,3,distance,minkowski,1.0,0.9076923076923077
20,4,uniform,euclidean,0.8976833976833977,0.8538461538461538
20,4,uniform,manhattan,0.9208494208494209,0.9153846153846154
20,4,uniform,chebyshev,0.8745173745173745,0.8
20,4,uniform,minkowski,0.8976833976833977,0.8538461538461538
20,4,distance,euclidean,1.0,0.8923076923076924
20,4,distance,manhattan,1.0,0.9307692307692308
20,4,distance,chebyshev,1.0,0.8461538461538461
20,4,distance,minkowski,1.0,0.8923076923076924
20,5,uniform,euclidean,0.9034749034749034,0.8615384615384616
20,5,uniform,manhattan,0.9247104247104247,0.8769230769230769
20,5,uniform,chebyshev,0.8648648648648649,0.8307692307692308
20,5,uniform,minkowski,0.9034749034749034,0.8615384615384616
20,5,distance,euclidean,1.0,0.8923076923076924
20,5,distance,manhattan,1.0,0.8923076923076924
20,5,distance,chebyshev,1.0,0.823076923076923
20,5,distance,minkowski,1.0,0.8923076923076924
20,6,uniform,euclidean,0.8725868725868726,0.8384615384615385
