Chanel_Name,band_width,n_neighbors,weights,metric,accuracy_train,accuracy_test
Left,10,20,uniform,chebyshev,0.5753138075313807,0.5583333333333333
Left,10,20,uniform,minkowski,0.6108786610878661,0.5666666666666667
Left,10,20,distance,euclidean,1.0,0.5916666666666667
Left,10,20,distance,manhattan,1.0,0.5916666666666667
Left,10,20,distance,chebyshev,1.0,0.55
Left,10,20,distance,minkowski,1.0,0.5916666666666667
Right,10,1,uniform,euclidean,1.0,0.48333333333333334
Right,10,1,uniform,manhattan,1.0,0.5333333333333333
Right,10,1,uniform,chebyshev,1.0,0.49166666666666664
Right,10,1,uniform,minkowski,1.0,0.48333333333333334
Right,10,1,distance,euclidean,1.0,0.48333333333333334
Right,10,1,distance,manhattan,1.0,0.5333333333333333
Right,10,1,distance,chebyshev,1.0,0.49166666666666664
Right,10,1,distance,minkowski,1.0,0.48333333333333334
Right,10,2,uniform,euclidean,0.7761506276150628,0.525
Right,10,2,uniform,manhattan,0.7887029288702929,0.5333333333333333
Right,10,2,uniform,chebyshev,0.7866108786610879,0.45
Right,10,2,uniform,minkowski,0.7761506276150628,0.525
Right,10,2,distance,euclidean,1.0,0.48333333333333334
Right,10,2,distance,manhattan,1.0,0.5333333333333333
Right,10,2,distance,chebyshev,1.0,0.5
Right,10,2,distance,minkowski,1.0,0.48333333333333334
Right,10,3,uniform,euclidean,0.7405857740585774,0.55
Right,10,3,uniform,manhattan,0.7803347280334728,0.6083333333333333
Right,10,3,uniform,chebyshev,0.7301255230125523,0.48333333333333334
Right,10,3,uniform,minkowski,0.7405857740585774,0.55
Right,10,3,distance,euclidean,1.0,0.525
Right,10,3,distance,manhattan,1.0,0.5916666666666667
Right,10,3,distance,chebyshev,1.0,0.5166666666666667
Right,10,3,distance,minkowski,1.0,0.525
Right,10,4,uniform,euclidean,0.7280334728033473,0.55
Right,10,4,uniform,manhattan,0.7343096234309623,0.6166666666666667
Right,10,4,uniform,chebyshev,0.6882845188284519,0.525
Right,10,4,uniform,minkowski,0.7280334728033473,0.55
Right,10,4,distance,euclidean,1.0,0.5666666666666667
Right,10,4,distance,manhattan,1.0,0.625
Right,10,4,distance,chebyshev,1.0,0.5333333333333333
Right,10,4,distance,minkowski,1.0,0.5666666666666667
Right,10,5,uniform,euclidean,0.6715481171548117,0.6083333333333333
Right,10,5,uniform,manhattan,0.698744769874477,0.65
